Driver Model,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36,Month 37,Month 38,Month 39,Month 40,Month 41,Month 42,Month 43,Month 44,Month 45,Month 46,Month 47,Month 48
Closed Accounts,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,809.6,809.6433566433567,809.6864536660944,809.7292928801218,809.77187608291,809.814205057622,809.8562815732402,809.8981073846938,809.9396842329841,809.9810138453083,810.0220979351831,810.062938202566,819.8247787699839,819.8170625923117,819.8093926192961,819.8017685284722,819.794189999944,819.7866567163621,819.779168362901,819.7717246272363,819.7643251995217,819.7569697723685,819.7496580408223,819.7423897023414,829.5719864302578,829.5155829016351,829.4595171186928,829.4037867242826,829.3483893800382,829.2933227662072,829.2385845814845,829.1841725428477,829.130084385393,829.0763178621751,829.0228707440456,828.9697408194953
Active Accounts,100100.0,100200.0,100300.0,100400.0,100500.0,100600.0,100700.0,100800.0,100900.0,101000.0,101100.0,101200.0,101306.625,101413.22832167833,101519.81009484528,101626.37044840521,101732.90951036377,101839.42740783496,101945.92426704834,102052.400213356,102158.85537123951,102265.28986431686,102371.70381534928,102478.09734624799,102579.609956863,102681.12642556685,102782.6467292572,102884.17084499297,102985.698749993,103087.23042163481,103188.76583745336,103290.30497513975,103391.84781253999,103493.3943276538,103594.9444986334,103696.49830378222,103793.1373105671,103889.80451911628,103986.49976055694,104083.2228671948,104179.97367250478,104276.75201112169,104373.55771883095,104470.39063255953,104567.25059036684,104664.13743143575,104761.05099606373,104857.99112565398
Applications,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0,2273.0
Approval Rate,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Merchant Sales,125000000.0,80000000.0,90000000.0,100000000.0,100000000.0,90000000.0,80000000.0,90000000.0,100000000.0,100000000.0,150000000.0,200000000.0,125000000.0,80000000.0,90000000.0,100000000.0,100000000.0,90000000.0,80000000.0,90000000.0,100000000.0,100000000.0,150000000.0,200000000.0,125000000.0,80000000.0,90000000.0,100000000.0,100000000.0,90000000.0,80000000.0,90000000.0,100000000.0,100000000.0,150000000.0,200000000.0,125000000.0,80000000.0,90000000.0,100000000.0,100000000.0,90000000.0,80000000.0,90000000.0,100000000.0,100000000.0,150000000.0,200000000.0
Transactions,45000.0,28800.0,32400.0,36000.0,36000.0,32400.0,28800.0,32400.0,36000.0,36000.0,54000.0,72000.0,45000.0,28800.0,32400.0,36000.0,36000.0,32400.0,28800.0,32400.0,36000.0,36000.0,54000.0,72000.0,45000.0,28800.0,32400.0,36000.0,36000.0,32400.0,28800.0,32400.0,36000.0,36000.0,54000.0,72000.0,45000.0,28800.0,32400.0,36000.0,36000.0,32400.0,28800.0,32400.0,36000.0,36000.0,54000.0,72000.0
Customer Interest Percentage,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
MDR Percentage,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Funding Cost Percentage,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
CVP Percentage,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
Interchange Percentage,0.00851439616102373,0.00666058394160584,0.00690664984681925,0.00761776982707215,0.00716690042075736,0.00661917098445596,0.00571364678257953,0.00631834917843601,0.00699233716475096,0.0065935483870968,0.009605263157895,0.0112135176651306,0.00830239860414025,0.00671836734049182,0.007122828744661169,0.008002280658722698,0.007641326260859541,0.007136227418816875,0.006209878118668908,0.006911369996187956,0.00769067763217938,0.007284549196163262,0.010654959501143434,0.012484511277525236,0.008078825308182113,0.0065773876424939344,0.007002087182021699,0.007894263881894105,0.007559983877172515,0.00707574862801825,0.006167114151889962,0.0068726064033448235,0.007656066499437081,0.007258420108432578,0.010625800173988386,0.01246030137942504,0.008067476464508594,0.006570185395482444,0.00699589213008426,0.007888701247689804,0.007555782176222777,0.007072617418405472,0.006164896372997954,0.006870593366687468,0.00765426699728476,0.007257060293345166,0.010624281296260774,0.012459039251059751
NCL Percentage,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Front Office Expenses Percentage,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Back Office Expenses Percentage,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Loan Loss Reserve Percentage,0.0,0.009308656885427636,0.0,0.0,0.026436126916490044,0.0,0.0,0.01647944167671879,0.0,0.0,0.010690619801736861,0.0,0.0,0.009977577192976008,0.0,0.0,0.00410146690939561,0.0,0.0,0.002162590702976943,0.0,0.0,0.0010752491834271243,0.0,0.0,0.0006270754177932101,0.0,0.0,0.0002119770753711314,0.0,0.0,0.00011233865463255821,0.0,0.0,5.601657097963699e-05,0.0,0.0,0.0006263887694915956,0.0,0.0,0.00021185926238457214,0.0,0.0,0.0001123057498193707,0.0,0.0,5.600856383470249e-05,0.0
Days in Month,31.0,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,31.0,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,31.0,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,31.0,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0
Days in Year,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
Balcon CC Sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest Margin Percentage,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
Interchange,43750.00000000001,28000.000000000004,31500.000000000004,35000.0,35000.0,31500.000000000004,28000.000000000004,31500.000000000004,35000.0,35000.0,52500.00000000001,70000.0,50312.50000000001,32200.0,36225.0,40250.00000000001,40250.00000000001,36225.0,32200.0,36225.0,40250.00000000001,40250.00000000001,60375.0,80500.00000000001,50312.50000000001,32200.0,36225.0,40250.00000000001,40250.00000000001,36225.0,32200.0,36225.0,40250.00000000001,40250.00000000001,60375.0,80500.00000000001,50312.50000000001,32200.0,36225.0,40250.00000000001,40250.00000000001,36225.0,32200.0,36225.0,40250.00000000001,40250.00000000001,60375.0,80500.00000000001
Total Sales,15000000.0,9600000.0,10800000.0,12000000.0,12000000.0,10800000.0,9600000.0,10800000.0,12000000.0,12000000.0,18000000.0,24000000.0,15375000.0,9840000.0,11070000.0,12300000.0,12300000.0,11070000.0,9840000.0,11070000.0,12300000.0,12300000.0,18450000.0,24600000.0,15375000.0,9840000.0,11070000.0,12300000.0,12300000.0,11070000.0,9840000.0,11070000.0,12300000.0,12300000.0,18450000.0,24600000.0,15375000.0,9840000.0,11070000.0,12300000.0,12300000.0,11070000.0,9840000.0,11070000.0,12300000.0,12300000.0,18450000.0,24600000.0
EOP Balance,57000000.0,52600000.0,54800000.0,57000000.0,58000000.0,57800000.0,57600000.0,59800000.0,62000000.0,63000000.0,70000000.0,77000000.0,65703125.0,59252828.94736842,60508624.42465478,61883567.05629216,62155447.67602013,61365699.88098148,60739444.539898425,62686203.78324869,64664949.5882807,65449152.89377476,72432647.58067481,79407109.63135843,67245179.60758899,60389079.71085505,61437498.62294234,62629378.45637706,62744246.14977136,61832677.98085315,61119167.216264665,63002639.34688722,64924236.254138365,65658255.04365997,72601920.7496295,79532855.4140105,67325735.49960047,60448436.68391614,61486022.38418999,62668339.140590504,62775004.58467671,61857072.60164015,61139003.67261396,63019169.727178305,64937781.21457754,65669178.398852855,72610763.46573803,79539424.28883396
Internal Sales Derived,12500000.0,8000000.0,9000000.0,10000000.0,10000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,20000000.0,12500000.0,8000000.0,9000000.0,10000000.0,10000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,20000000.0,12500000.0,8000000.0,9000000.0,10000000.0,10000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,20000000.0,12500000.0,8000000.0,9000000.0,10000000.0,10000000.0,9000000.0,8000000.0,9000000.0,10000000.0,10000000.0,15000000.0,20000000.0
Avg Balance,60500000.0,54800000.0,53700000.0,55900000.0,57500000.0,57900000.0,57700000.0,58700000.0,60900000.0,62500000.0,66500000.0,73500000.0,71351562.5,62477976.97368421,59880726.6860116,61196095.74047347,62019507.366156146,61760573.77850081,61052572.21043995,61712824.16157356,63675576.6857647,65057051.24102773,68940900.23722479,75919878.60601662,73326144.61947371,63817129.65922202,60913289.1668987,62033438.5396597,62686812.30307421,62288462.06531225,61475922.5985589,62060903.28157595,63963437.80051279,65291245.64889917,69130087.89664474,76067388.08182,73429295.45680548,63887086.0917583,60967229.534053065,62077180.76239025,62721671.86263361,62316038.59315843,61498038.13712706,62079086.699896134,63978475.47087792,65303479.8067152,69139970.93229544,76075093.87728599
Payment Rate,0.359375,0.2631578947368421,0.18250950570342206,0.19708029197080293,0.21052631578947367,0.20689655172413793,0.18685121107266436,0.16666666666666666,0.1806020066889632,0.1935483870967742,0.19047619047619047,0.2571428571428571,0.359375,0.2631578947368421,0.18250950570342206,0.19708029197080293,0.21052631578947367,0.20689655172413793,0.18685121107266436,0.16666666666666666,0.1806020066889632,0.1935483870967742,0.19047619047619047,0.2571428571428571,0.359375,0.2631578947368421,0.18250950570342206,0.19708029197080293,0.21052631578947367,0.20689655172413793,0.18685121107266436,0.16666666666666666,0.1806020066889632,0.1935483870967742,0.19047619047619047,0.2571428571428571,0.359375,0.2631578947368421,0.18250950570342206,0.19708029197080293,0.21052631578947367,0.20689655172413793,0.18685121107266436,0.16666666666666666,0.1806020066889632,0.1935483870967742,0.19047619047619047,0.2571428571428571
Sales Turn,2.975206611570248,2.102189781021898,2.4134078212290504,2.5760286225402504,2.5043478260869567,2.238341968911917,1.9965337954939342,2.2078364565587734,2.3645320197044337,2.304,3.2481203007518795,3.9183673469387754,2.5857878024745427,1.8899459572728392,2.218409951778892,2.4119185744456124,2.379896362745778,2.150886753034706,1.934070846237145,2.1525509779329606,2.3180002079666666,2.268777898542644,3.211446314715435,3.8883096946443945,2.5161557444137204,1.8502869156061552,2.180804908367803,2.379361896981339,2.3545622209403936,2.1326582098095677,1.9207519791295982,2.1404780300617423,2.3075682776827966,2.2606399760499682,3.20265757988058,3.880769505092977,2.5126211391818605,1.8482608493116546,2.1788754551459912,2.3776852973552587,2.35325359826597,2.1317144510303367,1.9200612503557861,2.139851068398889,2.307025900721648,2.260216460698044,3.2021997842145975,3.880376414338398
Floating APR,36300000.0,32880000.0,32220000.0,33540000.0,34500000.0,34740000.0,34620000.0,35220000.0,36540000.0,37500000.0,39900000.0,44100000.0,42810937.5,37486786.184210524,35928436.011606954,36717657.44428408,37211704.419693686,37056344.26710048,36631543.32626397,37027694.49694414,38205346.01145882,39034230.744616635,41364540.14233487,45551927.163609974,43995686.77168422,38290277.79553321,36547973.500139214,37220063.12379582,37612087.38184453,37373077.23918735,36885553.55913534,37236541.96894557,38378062.68030767,39174747.3893395,41478052.73798684,45640432.849092,44057577.27408329,38332251.65505498,36580337.720431834,37246308.45743415,37633003.11758016,37389623.155895054,36898822.88227623,37247452.01993768,38387085.282526754,39182087.88402912,41483982.55937726,45645056.32637159
Fixed APR,3025000.0,2740000.0,2685000.0,2795000.0,2875000.0,2895000.0,2885000.0,2935000.0,3045000.0,3125000.0,3325000.0,3675000.0,3567578.125,3123898.8486842103,2994036.33430058,3059804.7870236738,3100975.3683078075,3088028.688925041,3052628.610521998,3085641.208078678,3183778.8342882353,3252852.5620513866,3447045.0118612396,3795993.9303008313,3666307.2309736856,3190856.4829611015,3045664.458344935,3101671.9269829853,3134340.615153711,3114423.103265613,3073796.1299279453,3103045.1640787977,3198171.89002564,3264562.2824449586,3456504.394832237,3803369.404091,3671464.7728402745,3194354.3045879155,3048361.4767026533,3103859.0381195126,3136083.5931316805,3115801.9296579217,3074901.906856353,3103954.334994807,3198923.773543896,3265173.99033576,3456998.546614772,3803754.6938642995
Promo APR,15125000.0,13700000.0,13425000.0,13975000.0,14375000.0,14475000.0,14425000.0,14675000.0,15225000.0,15625000.0,16625000.0,18375000.0,17837890.625,15619494.243421052,14970181.6715029,15299023.935118368,15504876.841539036,15440143.444625203,15263143.052609988,15428206.04039339,15918894.171441175,16264262.810256932,17235225.059306197,18979969.651504155,18331536.154868428,15954282.414805505,15228322.291724674,15508359.634914925,15671703.075768553,15572115.516328063,15368980.649639726,15515225.820393987,15990859.450128198,16322811.412224792,17282521.974161185,19016847.020455,18357323.86420137,15971771.522939576,15241807.383513266,15519295.190597562,15680417.965658402,15579009.648289608,15374509.534281764,15519771.674974034,15994618.86771948,16325869.9516788,17284992.73307386,19018773.469321497
Total Average Balance,60500000.0,54800000.0,53700000.0,55900000.0,57500000.0,57900000.0,57700000.0,58700000.0,60900000.0,62500000.0,66500000.0,73500000.0,71351562.5,62477976.97368421,59880726.6860116,61196095.74047347,62019507.366156146,61760573.77850081,61052572.21043995,61712824.16157356,63675576.6857647,65057051.24102773,68940900.23722479,75919878.60601662,73326144.61947371,63817129.65922202,60913289.1668987,62033438.5396597,62686812.30307421,62288462.06531225,61475922.5985589,62060903.28157595,63963437.80051279,65291245.64889917,69130087.89664474,76067388.08182,73429295.45680548,63887086.0917583,60967229.534053065,62077180.76239025,62721671.86263361,62316038.59315843,61498038.13712706,62079086.699896134,63978475.47087792,65303479.8067152,69139970.93229544,76075093.87728599
Total Average Balance Percentage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Transactors Percentage,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
Transactors,6049999.999999999,5479999.999999999,5369999.999999999,5589999.999999999,5749999.999999999,5789999.999999999,5769999.999999999,5869999.999999999,6089999.999999999,6249999.999999999,6649999.999999998,7349999.999999998,7135156.249999998,6247797.69736842,5988072.668601158,6119609.574047346,6201950.736615613,6176057.37785008,6105257.221043994,6171282.416157355,6367557.668576469,6505705.124102771,6894090.023722477,7591987.860601661,7332614.461947369,6381712.965922201,6091328.916689868,6203343.853965969,6268681.23030742,6228846.206531224,6147592.259855889,6206090.3281575935,6396343.780051278,6529124.564889915,6913008.789664472,7606738.808181998,7342929.545680546,6388708.609175829,6096722.953405305,6207718.076239023,6272167.186263359,6231603.859315841,6149803.813712704,6207908.669989612,6397847.54708779,6530347.9806715185,6913997.0932295425,7607509.387728597
EOP Accounts,200200.0,200400.0,200600.0,200800.0,201000.0,201200.0,201400.0,201600.0,201800.0,202000.0,202200.0,202400.0,202613.25,202826.45664335665,203039.62018969055,203252.74089681043,203465.81902072753,203678.8548156699,203891.84853409667,204104.800426712,204317.71074247902,204530.57972863372,204743.40763069855,204956.19469249598,205159.219913726,205362.2528511337,205565.2934585144,205768.34168998594,205971.397499986,206174.46084326963,206377.53167490673,206580.6099502795,206783.69562507997,206986.7886553076,207189.8889972668,207392.99660756445,207586.2746211342,207779.60903823256,207972.99952111387,208166.4457343896,208359.94734500957,208553.50402224337,208747.1154376619,208940.78126511906,209134.50118073367,209328.2748628715,209522.10199212746,209715.98225130796
Attrition Rate,0.004,0.003996003996003996,0.003992015968063872,0.003988035892323031,0.00398406374501992,0.003980099502487562,0.003976143141153081,0.003972194637537239,0.003968253968253968,0.003964321110009911,0.0039603960396039604,0.003956478733926805,0.004,0.003996003996003996,0.003992015968063872,0.003988035892323031,0.00398406374501992,0.003980099502487562,0.003976143141153081,0.003972194637537239,0.003968253968253968,0.003964321110009911,0.0039603960396039604,0.003956478733926805,0.004,0.003996003996003996,0.003992015968063872,0.003988035892323031,0.00398406374501992,0.003980099502487562,0.003976143141153081,0.003972194637537239,0.003968253968253968,0.003964321110009911,0.0039603960396039604,0.003956478733926805,0.004,0.003996003996003996,0.003992015968063872,0.003988035892323031,0.00398406374501992,0.003980099502487562,0.003976143141153081,0.003972194637537239,0.003968253968253968,0.003964321110009911,0.0039603960396039604,0.003956478733926805
